subject,description,priority,category
"Requesting a refund","Due to the service outage for 8 hours on Tuesday, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Request for better documentation","The documentation for the authentication service is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"Cannot save changes","Multiple users are unable to save changes when using via Safari on an iPad. The console shows a JavaScript error.","High","Technical"
"Need to cancel subscription","Please cancel our Starter subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Dashboard not loading","The dashboard is showing a blank white screen. No data is loading. This is impacting all our users since a few minutes ago.","Critical","Technical"
"High latency in US-West-2","We're observing response times of over 30 seconds from the database cluster in US-West-2. This is a major degradation.","Critical","Technical"
"Feature Idea: custom reporting filters","It would be extremely helpful if you could add a custom reporting filters. This would help us log in much more efficiently.","Low","Feature Request"
"Help with SSO configuration","We are trying to set up SSO with Azure AD and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"Upgrade plan to Growth","We would like to upgrade our account to the Growth tier. Please provide instructions on how to proceed.","Low","Billing"
"UI bug on main dashboard","When we try to log in on the main dashboard, the API behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"API returning Timeout Error","Our application is receiving a consistent 'Timeout Error' from the /v2/reports endpoint. This started on 2025-08-27.","Critical","Technical"
"Webhook delivery failing","We stopped receiving 'payment.failed' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.","High","Technical"
"Invoice for this month is missing","I cannot find the invoice for this month in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"Data sync issue for DataCorp","There is a data synchronization delay of over 15 minutes for new records to appear on the settings page. This is affecting our operations.","Medium","Technical"
